#: table_doi: 10.17182/hepdata.62026.v1/t21   
#: name: Table 21   
#: description: v2{SP Deltaeta=0.2} (blue filled circles).  
#: data_file: Table21.yaml   
#: keyword reactions: PB PB --> CHARGED X   
#: keyword observables: V   
#: keyword phrases: Inclusive   
#: keyword cmenergies: 2760.0   
#: RE PB PB --> CHARGED X  
#: ABS(DELTA(ETA)) > 0.2  
#: SQRT(S)/NUCLEON [GeV] 2760  
pT y dy
0.25 0.01203 0.000436
0.35 0.016538 0.00043
0.45 0.020312 0.000453
0.55 0.024888 0.000492
0.65 0.028227 0.000543
0.75 0.032597 0.000596
0.85 0.035418 0.000668
0.95 0.03901 0.000737
1.05 0.040737 0.000823
1.15 0.04445 0.000912
1.25 0.045448 0.001015
1.35 0.048067 0.001121
1.45 0.050659 0.001251
1.55 0.05536 0.001386
1.65 0.056007 0.001545
1.75 0.05768 0.001714
1.85 0.059254 0.001907
1.95 0.062111 0.002121
2.1 0.062703 0.001744
2.3 0.064158 0.002149
2.5 0.06693 0.002632
2.7 0.07426 0.003226
2.9 0.073086 0.00393
3.25 0.073927 0.003436
3.75 0.080837 0.005465
4.5 0.064785 0.006891
